city,deliveryTime,foodType,price,restaurantName
agra,46 MINS,"North Indian, Mughlai",₹300 FOR TWO,Karchi
agartala,31 MINS,North Indian,₹275 FOR TWO,Brewbakes Cafe Bistro
agartala,41 MINS,"Indian, Chinese, Fast Food",₹200 FOR TWO,Bhoj On
ahmedabad,43 MINS,Indian,₹200 FOR TWO,NANKING EXPRESS
ahmedabad,27 MINS,Pizzas,₹400 FOR TWO,Round Slice
ahmedabad,24 MINS,"Cafe, Pizzas, Beverages, Desserts, Ice Cream, Fast Food, Italian, Pastas",₹500 FOR TWO,Huber & Holly
allahabad,25 MINS,"Indian, Chinese",₹250 FOR TWO,Gay Time Family Restaurant
allahabad,37 MINS,Fast Food,₹400 FOR TWO,McDonald's
agra,33 MINS,"Snacks, Sweets, Fast Food",₹200 FOR TWO,Pushpak Misthan Bhandar
agra,38 MINS,"Desserts, Fast Food",₹300 FOR TWO,Deep Corner
agra,42 MINS,Fast Food,₹400 FOR TWO,What the food
agra,35 MINS,North Indian,₹400 FOR TWO,Shan-E-Hind
agra,33 MINS,North Indian,₹200 FOR TWO,Papa Ji Da Dhaba
ahmedabad,22 MINS,Indian,₹300 FOR TWO,JUGAADI ADDA
ahmedabad,28 MINS,"North Indian, Italian, Lebanese, American, Mexican",₹1000 FOR TWO,Nini's Kitchen
ahmedabad,26 MINS,"Fast Food, Combo, Snacks",₹200 FOR TWO,Faasos - Wraps & Rolls
ahmedabad,30 MINS,Bakery,₹250 FOR TWO,Fresh N Fresh
allahabad,44 MINS,"North Indian, Chinese",₹300 FOR TWO,Kailash Parbat
allahabad,29 MINS,Biryani,₹150 FOR TWO,Bhaijaan Dum Biryani
allahabad,25 MINS,"Mughlai, Biryani, Chinese",₹300 FOR TWO,Hyderabadi Biryani
allahabad,33 MINS,"Pizzas, Pastas, Snacks, Beverages",₹200 FOR TWO,Mood Fresher
agra,39 MINS,"Chinese, South Indian, North Indian",₹400 FOR TWO,Aahar
allahabad,35 MINS,North Indian,₹150 FOR TWO,Thali Express
allahabad,30 MINS,"North Indian, Chinese, Mughlai",₹250 FOR TWO,Meals on Wheels
allahabad,32 MINS,"North Indian, Fast Food",₹250 FOR TWO,Pocket Meals
allahabad,33 MINS,North Indian,₹250 FOR TWO,Jai Shree Shankar Bhojanalaya
allahabad,37 MINS,"North Indian, South Indian",₹400 FOR TWO,Aryan Family's Delight
allahabad,50 MINS,Pizzas,₹200 FOR TWO,Pizza palette
allahabad,35 MINS,"Fast Food, Pizzas",₹350 FOR TWO,Pizza Hut
allahabad,29 MINS,"North Indian, Street Food, Fast Food",₹300 FOR TWO,Bikanerwala
allahabad,42 MINS,North Indian,₹200 FOR TWO,Rasoi Restaurant- Hotel Prayag
aligarh,32 MINS,"Desserts, Ice Cream",₹300 FOR TWO,Kwality Walls Frozen Dessert & Ice Cream Shop
aligarh,29 MINS,North Indian,₹200 FOR TWO,Gupta Veg Dhaba
